Emotions,Path
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1005.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1043.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1039.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1022.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1080.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1036.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1003.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1032.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1090.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1026.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1007.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1013.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1084.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1001.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1015.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1053.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1047.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1030.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1024.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1066.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1002.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1018.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1090.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1028.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1029.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1058.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1085.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1067.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1003.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1025.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1046.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1052.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1014.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1012.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1006.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1091.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1027.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1085.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1033.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1031.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1087.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1019.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1010.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1004.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1016.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1050.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1078.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1044.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1029.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1059.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1050.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1071.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1065.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1044.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1087.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1072.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1003.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1039.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1005.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1011.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1038.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1002.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1073.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1086.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1045.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1064.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1070.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1051.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1028.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1045.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1051.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1017.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1079.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1086.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1076.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1057.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1036.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1070.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1080.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1089.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1064.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1022.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1017.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1036.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1073.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1022.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1055.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1082.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1028.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1088.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1077.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1062.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1058.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1029.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1054.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1023.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1016.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1072.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1023.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1065.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1081.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1071.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1037.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1059.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1042.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1063.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1068.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1061.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1075.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1049.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1040.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1021.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1067.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1009.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1035.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1083.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1014.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1035.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1058.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1056.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1003.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1072.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1048.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1073.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1002.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1043.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1034.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1015.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1001.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1034.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1066.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1008.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1020.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1041.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1074.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1069.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1060.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1058.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1051.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1045.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1062.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1086.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1018.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1030.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1024.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1053.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1039.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1049.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1047.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1061.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1005.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1011.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1075.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1084.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1006.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1012.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1063.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1059.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1071.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1065.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1064.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1070.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1076.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1013.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1007.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1089.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1091.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1031.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1074.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1060.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1046.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1052.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1019.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1038.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1025.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1019.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1077.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1087.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1031.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1088.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1044.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1050.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1073.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1033.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1085.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1027.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1076.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1078.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1033.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1027.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1089.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1074.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1060.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1066.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1067.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1061.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1075.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1049.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1004.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1010.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1026.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1063.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1079.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1032.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1048.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1026.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1090.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1032.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1072.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1043.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1062.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1086.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1003.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1051.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1017.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1045.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1017.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1036.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1052.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1046.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1022.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1060.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1074.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1091.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1021.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1009.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1078.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1081.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1042.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1057.wav
